                                             Query       QTime        numFound    minQTime    maxQTime  #invocations    return consistent
        joincitations(bibcode:1975ITM....11.1018M)          16             307          16          17           2        True
        joincitations(bibcode:1957PhRv..108.1070B)          16             139          16          17           2        True
        joincitations(bibcode:1985ApJ...288..618R)          16            1914          16          16           2        True
        joincitations(bibcode:1997quop.book.....S)          16             665          15          17           2        True
        joincitations(bibcode:1974PhRvD...9.3471C)          16            1249          16          16           2        True
        joincitations(bibcode:1957JPSJ...12..570K)          16            2320          16          16           2        True
        joincitations(bibcode:1980PhRvL..44..912M)          16            1409          16          16           2        True
        joincitations(bibcode:1988JSP....52..479T)          16            1209          16          16           2        True
        joincitations(bibcode:1993gr.qc....10026T)          16               0          15          17           2        True
        joincitations(bibcode:2000PhRvL..84.2722D)          16             576          16          17           2        True
        joincitations(bibcode:2008PhRvL.101h7004K)          16             242          15          17           2        True
        joincitations(bibcode:1986PhRvL..57.1761B)          16            1203          16          16           2        True
        joincitations(bibcode:2005JPhD...38R.123F)          16             567          15          17           2        True
        joincitations(bibcode:2005RvMP...77..935B)          16             365          16          17           2        True
        joincitations(bibcode:1980IJQE...16..347L)          16             415          16          16           2        True
        joincitations(bibcode:1972JLTP....7..351P)          16             663          15          17           2        True
        joincitations(bibcode:1993PhRvL..71.1994C)          16            1458          16          16           2        True
        joincitations(bibcode:1977SurSc..62..267T)          16             212          16          16           2        True
        joincitations(bibcode:1994Sci...265..195P)          16             390          16          16           2        True
        joincitations(bibcode:1995NuPhB.435..129S)          16             623          15          17           2        True
        joincitations(bibcode:1998PhLB..436..257A)          16            2244          16          16           2        True
        joincitations(bibcode:1975RvMP...47..773W)          16            1361          16          16           2        True
        joincitations(bibcode:2003JChPh.118.8207H)          16             194          16          16           2        True
        joincitations(bibcode:2005NuPhA.757..184P)          16             610          16          16           2        True
        joincitations(bibcode:1979NuPhB.159..213V)          16             390          16          16           2        True
        joincitations(bibcode:2005PhRvL..95n2001A)          16             199          16          16           2        True
        joincitations(bibcode:1956PhRv..102.1464M)          16             227          16          17           2        True
        joincitations(bibcode:2006PhR...424..175B)          16             663          15          17           2        True
        joincitations(bibcode:1999PhR...323..183A)          16             973          16          16           2        True
        joincitations(bibcode:1991PhRvB..44..943A)          16             954          16          16           2        True
        joincitations(bibcode:1998ApJ...498..541K)          16            1432          16          16           2        True
        joincitations(bibcode:1996Sci...271..933A)          16            1059          16          16           2        True
        joincitations(bibcode:1931MNRAS..91..870P)          16              10          16          17           2        True
        joincitations(bibcode:1996ASPC..101...17A)          16            1696          16          16           2        True
        joincitations(bibcode:1991PhRvL..67..661E)          17            1848          17          17           2        True
        joincitations(bibcode:1929PhRv...33..730M)          17              20          16          18           2        True
        joincitations(bibcode:1947PhRv...71..622W)          17             653          16          18           2        True
        joincitations(bibcode:1992JChPh..96.6796K)          17            1973          16          19           2        True
        joincitations(bibcode:2011PhRvL.107m1302A)          18             180          16          20           2        True
        joincitations(bibcode:1996JPSJ...65.1920F)          22             399          17          27           2        True
        joincitations(bibcode:1941JChPh...9..341C)          38             891          16          61           2        True
        joincitations(bibcode:1972JPhC....5.1629V)          39            2309          16          62           2        True
        joincitations(bibcode:1998Natur.391..667E)          39            1145          16          62           2        True
        joincitations(bibcode:2003Natur.424..824B)          39             947          16          62           2        True
        joincitations(bibcode:1982JChPh..76..637S)          40             438          16          64           2        True
        joincitations(bibcode:1930PhRv...35..925C)         232              40          15         449           2        True
        joincitations(bibcode:1999Natur.401..130A)         234             488          16         452           2        True
            joincitations(id:[1000000 TO 1010000])         600           56251         596         605           2        True
            joincitations(id:[1000000 TO 1020000])        1199          108923        1183        1215           2        True
            joincitations(id:[1000000 TO 1030000])        1790          149610        1784        1797           2        True
            joincitations(id:[1000000 TO 1040000])        2381          180407        2379        2383           2        True
        joincitations(bibcode:2009RvMP...81..865H)        2913              84          15        5811           2        True
            joincitations(id:[1000000 TO 1050000])        2992          210415        2958        3027           2        True
            joincitations(id:[1000000 TO 1060000])        3613          252007        3572        3654           2        True
            joincitations(id:[1000000 TO 1070000])        4254          280112        4209        4299           2        True
            joincitations(id:[1000000 TO 1080000])        4791          304347        4745        4837           2        True
            joincitations(id:[1000000 TO 1090000])        5366          322710        5364        5369           2        True
            joincitations(id:[1000000 TO 1100000])        6001          344093        5992        6011           2        True
            joincitations(id:[1000000 TO 1110000])        6571          370871        6526        6617           2        True
            joincitations(id:[1000000 TO 1120000])        7130          398377        7126        7135           2        True
            joincitations(id:[1000000 TO 1130000])        7789          418199        7770        7809           2        True
            joincitations(id:[1000000 TO 1140000])        8447          445655        8387        8508           2        True
            joincitations(id:[1000000 TO 1150000])        9045          470702        8993        9097           2        True
            joincitations(id:[1000000 TO 1160000])        9728          498708        9702        9754           2        True
            joincitations(id:[1000000 TO 1170000])       10188          512769       10185       10191           2        True
            joincitations(id:[1000000 TO 1180000])       10821          533801       10763       10880           2        True
            joincitations(id:[1000000 TO 1190000])       11466          555594       11434       11498           2        True
