                                             Query       QTime	numFound	  minQTime	  maxQTime	#invocations	return consistent
            citations(bibcode:1980PhRvL..45..494K)	7	1292	7	8	2	      True
            citations(bibcode:1984NuPhB.241..333B)	7	2147	7	8	2	      True
            citations(bibcode:1999ITMTT..47.2075P)	7	757	7	7	2	      True
            citations(bibcode:1953mtp..book.....M)	7	2405	7	7	2	      True
            citations(bibcode:2005RvMP...77..259S)	7	427	7	8	2	      True
            citations(bibcode:1982PhRvB..25.4515B)	7	1397	7	8	2	      True
            citations(bibcode:2003AnPhy.303....2K)	7	492	7	7	2	      True
            citations(bibcode:1985Natur.318..162K)	7	2458	7	8	2	      True
            citations(bibcode:1974PhRvD..10..275P)	7	1370	7	7	2	      True
            citations(bibcode:1984SJNA...21..995S)	7	197	7	8	2	      True
            citations(bibcode:2009RvMP...81..865H)	7	 84	7	7	2	      True
            citations(bibcode:2001Sci...292...77S)	7	1299	7	8	2	      True
            citations(bibcode:2004JHEP...10..025L)	7	133	7	8	2	      True
            citations(bibcode:2006NatPh...2..177N)	7	263	7	7	2	      True
            citations(bibcode:2011PhRvL.107m1302A)	7	180	7	7	2	      True
            citations(bibcode:1997PhRvD..55.5112B)	7	1091	7	7	2	      True
            citations(bibcode:1980PhRvL..44..912M)	7	1409	7	7	2	      True
            citations(bibcode:1988JSP....52..479T)	7	1209	7	7	2	      True
            citations(bibcode:1990PhRvL..64..821P)	7	1522	7	8	2	      True
            citations(bibcode:1965PhRv..139..796H)	7	1090	7	8	2	      True
            citations(bibcode:1983PhRvL..50.1395L)	7	2054	7	8	2	      True
            citations(bibcode:1997PhRvL..78.1667K)	7	488	7	7	2	      True
            citations(bibcode:1995NuPhB.435..129S)	7	623	7	7	2	      True
            citations(bibcode:1998PhRvL..80.2245W)	7	1862	7	8	2	      True
            citations(bibcode:2006MNRAS.365...11C)	7	1026	7	8	2	      True
            citations(bibcode:2005RvMP...77..935B)	7	365	7	7	2	      True
            citations(bibcode:1941ApJ....93..133K)	7	170	7	7	2	      True
            citations(bibcode:1999Natur.401..130A)	7	488	7	8	2	      True
            citations(bibcode:2004ApJ...607..665R)	7	1841	7	8	2	      True
            citations(bibcode:1998AdTMP...2..253W)	7	 75	7	8	2	      True
            citations(bibcode:1992PhRvL..68.2512M)	7	919	7	8	2	      True
            citations(bibcode:1986nras.book.....P)	7	2929	7	7	2	      True
            citations(bibcode:1993PhRvL..71.1994C)	7	1458	7	8	2	      True
            citations(bibcode:1975RvMP...47..773W)	7	1361	7	7	2	      True
            citations(bibcode:2005PThPh.114.1083S)	7	172	7	8	2	      True
            citations(bibcode:1929PGro...43....1V)	7	 30	7	8	2	      True
            citations(bibcode:2005JAP....98d1301O)	7	753	7	7	2	      True
            citations(bibcode:1984ucp..book.....W)	7	2295	7	8	2	      True
            citations(bibcode:1993JChPh..98.1358W)	7	1373	7	8	2	      True
            citations(bibcode:1926AnP...384..734S)	7	 47	7	7	2	      True
            citations(bibcode:2003RvMP...75..473D)	7	904	7	7	2	      True
            citations(bibcode:1985PhRvL..55.2471C)	7	2756	7	8	2	      True
            citations(bibcode:1998AJ....115.1693C)	7	2050	7	8	2	      True
            citations(bibcode:1956PhRv..102.1413M)	7	911	7	7	2	      True
            citations(bibcode:1995PhRvL..75.1260J)	7	274	7	8	2	      True
            citations(bibcode:2004RvMP...76..323Z)	7	1849	7	7	2	      True
            citations(bibcode:1989MWRv..117.1779T)	7	575	7	8	2	      True
            citations(bibcode:2005PhRvL..95v6801K)	7	322	7	8	2	      True
            citations(bibcode:1972hmfw.book.....A)	7	2365	7	7	2	      True
            citations(bibcode:2001JAP....89.5815V)	7	1001	7	7	2	      True
            citations(bibcode:1976PhRvB..14.3110B)	7	314	7	8	2	      True
            citations(bibcode:1987PhRvL..58..908W)	7	2836	7	8	2	      True
            citations(bibcode:1958PhRv..112.1546K)	7	200	7	8	2	      True
            citations(bibcode:1976CMaPh..48..119L)	7	1058	7	7	2	      True
            citations(bibcode:2005PhRvL..95n2001A)	7	199	7	7	2	      True
            citations(bibcode:2001Natur.409...46K)	7	1100	7	7	2	      True
            citations(bibcode:1996Sci...271..933A)	7	1059	7	8	2	      True
            citations(bibcode:1999JHEP...09..032S)	7	1106	7	8	2	      True
            citations(bibcode:2005MNRAS.364.1105S)	7	1100	7	8	2	      True
            citations(bibcode:1989Natur.342..637F)	7	564	7	7	2	      True
            citations(bibcode:1983Sci...220..671K)	7	1852	7	7	2	      True
            citations(bibcode:2006NatPh...2..620K)	7	363	7	7	2	      True
            citations(bibcode:2003NIMPA.506..250G)	7	1244	7	8	2	      True
            citations(bibcode:2005JPhD...38R.123F)	7	567	7	7	2	      True
            citations(bibcode:1996ASPC..101...17A)	7	1696	7	8	2	      True
            citations(bibcode:1976PhRvD..13..974W)	7	364	7	7	2	      True
            citations(bibcode:1991rc3..book.....D)	7	567	7	8	2	      True
            citations(bibcode:1982RvGSP..20..851M)	7	727	7	7	2	      True
            citations(bibcode:2003PhRvL..90v7902V)	7	586	7	7	2	      True
            citations(bibcode:1935RSPSA.151..585F)	7	210	7	8	2	      True
            citations(bibcode:1956JPCS....1...82K)	7	222	7	8	2	      True
            citations(bibcode:2009ApJS..180..225H)	7	381	7	8	2	      True
            citations(bibcode:2000PhRvL..84.2722D)	7	576	7	8	2	      True
            citations(bibcode:1941JChPh...9..341C)	7	891	7	8	2	      True
            citations(bibcode:1981MWRv..109..784W)	7	717	7	8	2	      True
            citations(bibcode:2001JGR...10619999N)	7	 89	7	7	2	      True
            citations(bibcode:1957JPCS....1..249K)	7	1218	7	7	2	      True
            citations(bibcode:1999JMMM..192..203N)	7	1200	7	7	2	      True
            citations(bibcode:1984JETPL..39...78B)	7	456	7	8	2	      True
            citations(bibcode:2005QJRMS.131.2961U)	7	937	7	8	2	      True
